ICAO AC_TYPE
4ca53d   B738
4cacc1   B738
4cacdd   B738
4b1805   BCS3
4402bf   A320
493285   C68A
48c238   B738
4cabb9   B738
48c222   B738
5cea19   B738
c07b42   B789
44cd8d   C56X
4ca33e   B738
4ca93a   B738
48c230   B738
4bab2f   B739
3c6497   A321
49118a   F2TH
4b1800   BCS3
4bb264   A21N
346610   A20N
4ca9bc   A21N
4ca6ac   RJ85
a2ebca   A332
407599   LJ75
4cafd1   B738
4caa55   AT76
4ca99f   E35L
485207   E190
a431d9   GLF4
ada6d3   C25M
4d21ea   B738
3c66af   A320
4ca7b5   B738
4cafb3   B738
502d0c   BCS3
504e4b   A319
a0ed9a   CL30
491d88   GLEX
4ca93d   B738
4cacc4   B738
896214   B77W
461faa   A321
407498   BE40
490d09   CL35
48c221   B738
40688a   A320
45d2ef   PC24
461fa7   A321
4cafc4   B738
4cacae   B738
a05627   B78X
ac9923   B78X
a08708   RV8
48c234   B738
a48c07   B763
4d21d3   A320
44059f   A320
490d08   CL35
48c22c   B738
4cacc2   B738
504e57   A320
300785   E35L
4b1807   BCS3
39cea9   B738
4caa19   B738
470d48   B734
4cabb8   B738
4952c5   A20N
a0a522   B78X
4ca93c   B738
4cafd8   CRJ9
4b17fd   BCS3
345686   A320
48c220   B738
47a743   B738
4cafd0   B738
4b1803   BCS3
39cead   B738
4aca50   B738
478e27   E290
4c01ea   A319
459c81   E195
4aca45   B738
06a0e8   A359
4cacc9   CRJ9
4ca680   B738
4405b6   A319
4aca4f   B738
4aca4a   B738
4cacc8   CRJ9
440480   A319
45aa90   B737
440762   A320
8964a5   B77W
440043   A320
440631   A319
440735   A319
3c56a4   A320
48ada8   E190
a063b1   SF50
4b8e47   B738
4b1a00   CL60
34608d   A20N
46bc93   A320
48ae60   B737
4bb863   A20N
471eff   A321
8964e8   A320
501e1b   C25A
4bb14d   B77L
8964a6   B77W
4401f8   A319
48ae84   B738
440080   A320
a8f26b   E550
40772f   A20N
0101e3   B737
493286   C68A
440089   A319
06a1d7   GA5C
44056d   A319
4b1a28   A320
48ada5   E195
440083   A319
407568   A20N
a652d8   SF50
471f95   A320
42432c   A321
4401e8   A319
503dbe   A320
4402db   A320
4401d0   E35L
899160   A359
4403f0   A319
3c6647   E35L
4bb84f   A20N
4bb265   A21N
4b990d   A320
4bb850   A20N
500158   E35L
49410c   E55P
896558   A21N
732541   A332
503d33   A320
48c22d   B738
5110e7   AT76
5110e8   AT76
4b19fa   E190
4b1801   BCS3
4b19fb   E190
502c4c   A321
4bb867   A20N
502c6f   A321
471f30   A21N
0083c3   A320
5110e9   AT76
471f31   A21N
49d474   B738
4853f4   E75L
48c22f   B738
471f2f   A21N
4b19f9   E190
34610d   A20N
47a48c   C68A
300558   E195
503d38   B734
471f32   A21N
48c231   B738
459053   FA8X
407477   B738
4b8de5   B738
4b19f8   E190
440148   A320
440395   A320
4076e0   B738
4aca49   B738
3e2503   F406
4402c9   A320
479301   E290
4cafcf   B738
48c232   B738
503dbb   A321
4ac9ea   A20N
513024   A319
4ac9d2   CL35
440037   A320
34610e   A20N
02001c   B737
506ca0   A306
4bb864   A20N
468459   A321
42442c   B738
34608b   A20N
42442a   B738
424433   B738
4bb1e8   A332
42442f   B738
4ab58c   DA42
4952c1   A20N
42437e   B738
3c4dd4   CRJ9
76cdb7   A359
ac2032   FA7X
44017b   A320
4bb854   A20N
4bb859   A20N
4787fe   BE20
4bb868   A20N
345692   A20N
4ab549   BE20
440352   A320
3c1459   E190
4aca46   B738
4242c7   B738
503cb8   B735
346089   A20N
44083c   A320
4bb853   A20N
424432   B738
06a10b   A359
4aaa73   EC45
45ab4b   B738
345691   A20N
4b9907   A320
4bd185   B734
440176   A320
47ca14   B789
4ac9b8   LJ35
4406f0   A319
3c56aa   A321
49118b   F2TH
06a11f   A35K
020027   B737
80073c   B788
4400ec   A320
44009e   A319
4ac9f3   A20N
45ab4a   B738
06a0e7   A359
51110a   AT76
51110b   AT76
505e6c   C56X
4ac9f9   A20N
040171   A359
a4158a   B763
06a2b8   B77W
345682   B772
a41941   B763
49d3fa   B738
a49375   B763
5001a7   HDJT
50018e   F2TH
50841c   B737
a41cf8   B763
5083a3   AN26
34558e   B789
ad2fad   CL60
aada49   B77W
af424331 A320
47c39c   BE20
4d21e3   A320
495274   B763
47c98d   B789
4243a5   A320
42442d   B738
48adac   E195
471efa   A321
738c08   B744
407743   A321
407742   A321
4b990e   A320
47b9f4   C208
407751   A321
424398   A320
471f7a   A321
48ad81   E190
479ff0   F900
503d37   A319
40750c   A321
155c0d   SU95
479bac   FA8X
155c10   SU95
346186   A20N
40761a   B734
47803f   BE20
502d0b   BCS3
155c14   SU95
48ad80   E190
155c0e   SU95
06a1e7   B77L
424397   A320
48ad82   E190
45ac30   A320
44ce72   A319
